ticker,cik,fiscal_year,shares_outstanding,total_assets,total_liab,deposits,equity,liab_current,longterm_debt,net_income,interest_expense
NRG,1013871,2025,210210483.0,29140000000.0,27459000000.0,,1681000000.0,8029000000.0,,864000000.0,
NTAP,1002047,2015,196419005.0,9401200000.0,5987100000.0,,3414100000.0,2709000000.0,1487500000.0,559900000.0,42000000.0
NTAP,1002047,2016,196419005.0,10037000000.0,7156000000.0,,2881000000.0,3662000000.0,1490000000.0,229000000.0,49000000.0
NTAP,1002047,2017,196419005.0,9493000000.0,6713000000.0,,2780000000.0,4122000000.0,744000000.0,509000000.0,52000000.0
NTAP,1002047,2018,196419005.0,9865000000.0,7798000000.0,,2067000000.0,3623000000.0,1541000000.0,76000000.0,62000000.0
NTAP,1002047,2019,196419005.0,8741000000.0,7651000000.0,,1090000000.0,3867000000.0,1144000000.0,1169000000.0,58000000.0
NTAP,1002047,2020,196419005.0,7522000000.0,7280000000.0,,242000000.0,3616000000.0,1146000000.0,819000000.0,55000000.0
NTAP,1002047,2021,196419005.0,9360000000.0,8675000000.0,,685000000.0,3452000000.0,2632000000.0,730000000.0,74000000.0
NTAP,1002047,2022,196419005.0,10026000000.0,9188000000.0,,838000000.0,3953000000.0,2386000000.0,937000000.0,73000000.0
NTAP,1002047,2023,196419005.0,9818000000.0,8659000000.0,,1159000000.0,3467000000.0,2389000000.0,1274000000.0,67000000.0
NTAP,1002047,2024,196419005.0,9887000000.0,8741000000.0,,1146000000.0,4106000000.0,1992000000.0,986000000.0,64000000.0
NTAP,1002047,2025,196419005.0,10823000000.0,9783000000.0,,1040000000.0,4662000000.0,2485000000.0,1186000000.0,
NTAP,1002047,2026,196419005.0,10744000000.0,9393000000.0,,1351000000.0,4021000000.0,2487000000.0,1276000000.0,
NTNX,1618732,2017,270570179.0,726073000.0,677871000.0,,48202000.0,374158000.0,,-90653000.0,
NTNX,1618732,2018,270570179.0,1599880000.0,1273101000.0,,326779000.0,458231000.0,,-87369000.0,
NTNX,1618732,2019,270570179.0,1786042000.0,1599149000.0,,186893000.0,599315000.0,,-194338000.0,
NTNX,1618732,2020,270570179.0,1768547000.0,2043524000.0,,-274977000.0,760203000.0,,-185348000.0,
NTNX,1618732,2021,270570179.0,2277496000.0,3289537000.0,,-1012041000.0,927888000.0,,-1034260000.0,
NTNX,1618732,2022,270570179.0,2365749000.0,3155917000.0,,-790168000.0,1150224000.0,,-797538000.0,
NTNX,1618732,2023,270570179.0,2526915000.0,3234334000.0,,-707419000.0,1136108000.0,,-254560000.0,
NTNX,1618732,2024,270570179.0,2143918000.0,2872066000.0,,-728148000.0,1244341000.0,,-124775000.0,
NTNX,1618732,2025,270570179.0,3283194000.0,3977714000.0,,-694520000.0,1413541000.0,,188366000.0,
NTNX,1618732,2026,270570179.0,5073685000.0,4371120000.0,,702565000.0,1684094000.0,,1506837000.0,
NTRS,73124,2015,182955653.0,116749600000.0,108043700000.0,96868900000.0,8705900000.0,,,973800000.0,153900000.0
NTRS,73124,2016,182955653.0,123926900000.0,114156500000.0,101651700000.0,9770400000.0,,,1032500000.0,182000000.0
NTRS,73124,2017,182955653.0,138590500000.0,128374300000.0,112390800000.0,10216200000.0,,,1199000000.0,340200000.0
NTRS,73124,2018,182955653.0,132212500000.0,121704200000.0,104496800000.0,10508300000.0,,,1556400000.0,698700000.0
NTRS,73124,2019,182955653.0,136828400000.0,125737400000.0,109120600000.0,11091000000.0,,,1492200000.0,822000000.0
NTRS,73124,2020,182955653.0,170003900000.0,158315600000.0,143878000000.0,11688300000.0,,,1209300000.0,200300000.0
NTRS,73124,2021,182955653.0,183889800000.0,171873000000.0,159928400000.0,12016800000.0,,,1545300000.0,23800000.0
NTRS,73124,2022,182955653.0,155036700000.0,143777200000.0,123932100000.0,11259500000.0,,,1336000000.0,990500000.0
NTRS,73124,2023,182955653.0,150783100000.0,138885200000.0,116164000000.0,11897900000.0,,,1107300000.0,5343000000.0
NTRS,73124,2024,182955653.0,155508400000.0,142720000000.0,122482700000.0,12788400000.0,,,2031100000.0,
NTRS,73124,2025,182955653.0,177132700000.0,164174800000.0,142797700000.0,12957900000.0,,,1736900000.0,
NVDA,1045810,2015,24100000000.0,7201368000.0,,,4417982000.0,896030000.0,,193128000.0,46133000.0
NVDA,1045810,2016,24100000000.0,7370000000.0,2814000000.0,,4469000000.0,2351000000.0,,207000000.0,47000000.0
NVDA,1045810,2017,24100000000.0,9841000000.0,4048000000.0,,5762000000.0,1788000000.0,,655000000.0,58000000.0
NVDA,1045810,2018,24100000000.0,11241000000.0,3770000000.0,,7471000000.0,1153000000.0,,1118000000.0,61000000.0
NVDA,1045810,2019,24100000000.0,13292000000.0,3950000000.0,,9342000000.0,1329000000.0,,567000000.0,58000000.0
NVDA,1045810,2020,24100000000.0,17315000000.0,5111000000.0,,12204000000.0,1784000000.0,,950000000.0,52000000.0
NVDA,1045810,2021,24100000000.0,28791000000.0,11898000000.0,,16893000000.0,3925000000.0,5964000000.0,4332000000.0,184000000.0
NVDA,1045810,2022,24100000000.0,44187000000.0,17575000000.0,,26612000000.0,4335000000.0,10946000000.0,9752000000.0,236000000.0
NVDA,1045810,2023,24100000000.0,41182000000.0,19081000000.0,,22101000000.0,6563000000.0,9703000000.0,4368000000.0,262000000.0
NVDA,1045810,2024,24100000000.0,65728000000.0,22750000000.0,,42978000000.0,10631000000.0,8459000000.0,29760000000.0,257000000.0
NVDA,1045810,2025,24100000000.0,111601000000.0,32274000000.0,,79327000000.0,18047000000.0,8463000000.0,72880000000.0,
NVDA,1045810,2026,24100000000.0,206803000000.0,49510000000.0,,157293000000.0,32163000000.0,7469000000.0,120067000000.0,
NVMI,1109345,2015,29278401.0,207269000.0,46209000.0,,161060000.0,37158000.0,,15725000.0,
NVMI,1109345,2016,29278401.0,218593000.0,43876000.0,,174717000.0,39034000.0,,9644000.0,
NVMI,1109345,2017,29278401.0,283285000.0,56549000.0,,226736000.0,52126000.0,,46459000.0,
NVMI,1109345,2018,29278401.0,333430000.0,52690000.0,,280740000.0,48078000.0,,54375000.0,
NVMI,1109345,2019,29278401.0,400443000.0,85904000.0,,314539000.0,46949000.0,,35171000.0,
NVMI,1109345,2020,29278401.0,655786000.0,284248000.0,,371538000.0,60934000.0,,47907000.0,
NVMI,1109345,2021,29278401.0,805154000.0,331400000.0,,473754000.0,287930000.0,,93101000.0,
NVMI,1109345,2022,29278401.0,984105000.0,397142000.0,,586963000.0,134068000.0,,140213000.0,
NVMI,1109345,2023,29278401.0,1133807000.0,383055000.0,,750752000.0,322811000.0,,136310000.0,
NVMI,1109345,2024,29278401.0,1390422000.0,462627000.0,,927795000.0,388230000.0,,183762000.0,
NVMI,1109345,2025,29278401.0,2360546000.0,1042298000.0,,1318248000.0,224535000.0,,259223000.0,
NWBI,1471265,2015,146459122.0,8951899000.0,7788736000.0,6612581000.0,1163163000.0,,,,14486000.0
NWBI,1471265,2016,146459122.0,9623640000.0,8452977000.0,7882321000.0,1170663000.0,,,,7091000.0
NWBI,1471265,2017,146459122.0,9363934000.0,8156210000.0,7826989000.0,1207724000.0,,,,7321000.0
NWBI,1471265,2018,146459122.0,9607773000.0,8350135000.0,7894179000.0,1257638000.0,,,,10937000.0
NWBI,1471265,2019,146459122.0,10493908000.0,9140623000.0,8592007000.0,1353285000.0,,,,14473000.0
NWBI,1471265,2020,146459122.0,13806268000.0,12267565000.0,11599233000.0,1538703000.0,,,,8841000.0
